Title,Start date,End date,Date to be decided,Location,Organisers,Meetings summary,Relevance to the CBD's post-2020 process,Link to further information,Groupings,2nd grouping (where appropriate),Relation to the CBD's post-2020 process
‘Mapping our conservation future’ scoping workshop,06/06/2017,06/06/2017,,"Cambridge, UK",UNEP-WCMC,"The ‘Mapping our conservation future’ scoping workshop on 6th June 2017 was convened by UNEP-WCMC and focused on scaling up ambition for area-based conservation. It brought together an international collection of biodiversity-related institutions to discuss three key questions: 1. How can we provide meaningful data on biodiversity at a scale needed for decision making? 2. What is needed for the biodiversity community to speak with one voice on biodiversity prioritization - i.e. where is important to focus conservation efforts? 3. How can we assess where important biodiversity is, and is not, being effectively managed?",This workshop focused on the current state of Aichi Target 11 and how this could be followed up post-2020.,A workshop report is available on request: post-2020@unep-wcmc.org,Area-based conservation,,Other relevance
IUCN WCPA Beyond the Aichi Targets Task Force ,03/07/2017,07/07/2017,,"Vilm, Germany",IUCN,The meeting focused on developing an engagement strategy on how to best work with people all over the world to gather input and build support to scale up conservation areas using protected areas as a key conservation tool. This strategy would be informed by the best available science in which the Task Force will seek to understand perspectives on what are truly sustainable area-based conservation targets.,"The purpose of IUCN's Beyond the Aichi Task Force is two-fold. It aims to help build global momentum for the Promise of Sydney to scale up conservation, using protected areas as the key conservation tool. Furthermore, it aims to ensure that, in 2020, new global conservation targets for spatial conservation are set that would be meaningful for achieving the CBD's basic purpose, which is the conservation of biological diversity and the halting of biodiversity loss.",https://www.iucn.org/protected-areas/wcpa/what-we-do/beyond-aichi-targets,Area-based conservation,,Direct contribution
Fourth International Marine Protected Areas Congress (IMPAC 4),04/09/2017,08/09/2017,,"La Serena - Coquimbo, Chile","IUCN, Government of Chile","The IMPAC series are a high-quality and professionally coordinated international congress which allows the exchange of ideas, defines recommendations on policy processes, assists in the establishment and ongoing implementation of global, lasting, ecologically representative and effectively managed network of MPAs and engages stakeholders. Chile hosted the Fourth International Marine Protected Areas Congress, IMPAC4, with the motto 'Marine Protected Areas: Bringing the people and ocean together'. The focus was on the need to highlight the intricate nature of ocean-human relationship and the benefits of marine protected areas (MPA) and the ocean for millions that depends on their ecosystem services.","IMPAC4 was one of the last milestones in the road of conferences on marine conservation before reaching the 2020 deadline for the Aichi Targets. It was a major opportunity to evaluate and review practices in MPAs towards fulfilling Target 11, and for combining MPA management with advances on UN Sustainable Development Goal 14, Oceans, Seas and Marine Resources. It was also a great opportunity to call attention to the important role of the oceans in the control of the planet´s climate, urging to protect this crucial ecosystem service.",http://www.impac4.org/en/homepage/ http://enb.iisd.org/download/pdf/sd/enbplus186num9e.pdf,Marine-focus,,Other relevance
Half-Earth Day,23/10/2017,23/10/2017,,"National Geographic HQ, Washington, DC","E. O. Wilson Biodiversity Foundation, National Geographic","Scientists and conservationists from around the world were joined by special guests, including eminent biologist Edward O. Wilson and legendary recording artist Paul Simon, to celebrate the planet’s first-ever Half-Earth Day on Oct. 23. The all-day inaugural event, co-convened by the E.O. Wilson Biodiversity Foundation and National Geographic, highlighted efforts to halt rising extinction rates and help conserve half the planet. Half-Earth Day featured two large-scale public events, and a morning scientific session, that brought together scientists to discuss their research regarding how we can achieve the Half-Earth goal.","Half-Earth' is an inspiring goal that would drive conservation efforts to a new level. In the run-up to 2020, advocates of this idea are aiming to provide scientific leadership on how best to manage 50 percent of the planet to protect life on Earth.",http://www.half-earthproject.org/,Area-based conservation,Communications,Other relevance
GEO-XIV Plenary,25/10/2017,26/10/2017,,"Washington, DC",Group on Earth Observations,"Group on Earth Observation (GEO) is a global network of national governments and partner organisations that works in the areas of sustainable development and sound environmental management. Over 700 people from diverse geographies, sectors and technical areas came together for GEO week from 23-27 October 2017 in Washington, DC, to explore the use and applications of Earth observations for the benefit of humankind. The sessions of GEO-XIV included 'Earth Observations in Public Policy', 'Earth Observations in the Commercial Sector', 'Earth Observations in International Development', '2017-2019 GEO Work Programme' and 'National Earth Observations'.","The GEO Plenary is the highest decision-making body of GEO, a partnership that envisions a future where decisions and actions for the benefit of humankind are informed by coordinated, comprehensive and sustained Earth observations. GEO helps identify gaps and reduce duplication in the areas of sustainable development and sound environmental management.",http://www.earthobservations.org/geo14.php,,,Other relevance
1st Bogis-Bossey Dialogue for Transformational Change on Biodiversity,12/11/2017,14/11/2017,,"Bogis-Bossey, Switzerland","CBD Secretariat, Swiss government","With the goal of identifying a transformative agenda for action that will engage multi-level systemic change in sectors and domains that have an impact on or benefit from biodiversity, and with a view to contribute to discussions on an ambitious, innovative, yet pragmatic post-2020 global biodiversity framework, the Secretariat of the Convention convened the first of a series of dialogues from 12 to 14 November 2017, in Bogis-Bossey, Switzerland, with the support of the Government of Switzerland. This meeting convened close to 50 experts in transitions, communication and finance, among others, as part of the ""Friends of the CBD"" meeting series. ","A large focus of the meeting involved identifying barriers to, and opportunities for, transformational change to address the drivers of biodiversity loss. Discussions led to a constructive exchange of views and a number of commitments relating to how the CBD and wider biodiversity community can leverage transformational change, both in the lead up to 2020 and through the post-2020 global biodiversity framework.",https://www.cbd.int/doc/c/9275/a98b/ed07b3d583d07a51860c9111/sbstta-21-inf-19-en.pdf,,,Direct contribution
69th Meeting of the CITES Standing Committee,27/11/2017,01/12/2017,,"Geneva, Switzerland",CITES Secretariat,"Meeting of national CITES Authorities (primarily Management Authorities) to discuss a variety of issues related to the implementation of the Convention. Including National Ivory Action Plans, illegal trade, trade in timber species, electronic permitting, etc.","Key meeting on wildlife trade and sustainable use ahead of CITES CoP18 in 2019. There is cooperation, coordination and synergies amongst the biodiversity-related conventions. ",https://cites.org/eng/com/sc/69/index.php,Intergovernmental processes,,Other relevance
Third Meeting of the UN Environment Assembly (UNEA 3),04/12/2017,06/12/2017,,"Nairobi, Kenya",UN Environment,"The third meeting of the UN Environment Assembly (UNEA 3), will be held, on an exceptional basis, from 4-6 December 2017, with the high-level segment taking place on 5-6 December, and the Open Ended Committee of Permanent Representatives from 29 November to 1 December. The event considered the overarching theme of pollution. Outcomes included: a political declaration on pollution, linked to the Sustainable Development Goals (SDGs), resolutions and decisions adopted by Member States to address specific dimensions of pollution, voluntary commitments by governments, private sector entities and civil society organizations to clean up the planet, and the Clean Planet Pledge, a collection of individual commitments to take personal action to end pollution in all its forms. UNEA-3 was preceded by: the Global Major Groups and Stakeholders Forum (27-28 November), the Committee of Permanent Representatives (29 November – 1 December), the Science Policy Forum (2-3 December), and the Sustainable Innovation Expo (4-6 December 2017).","Progress in development of the sixth edition of the Global Environment Outlook was be made available to governments. While Regional environmental assessments for the sixth Global Environment Outlook were published in 2016, the broader Global Environment Outlook will be available in full to decision makers and the public in 2019.",http://web.unep.org/environmentassembly/assembly,Intergovernmental processes,,Other relevance
WWF Towards a new CBD Strategy 2021-2030 First International Workshop,10/12/2017,11/12/2017,,"Montreal, Canada",WWF,"The first expert workshop will convene in Montreal prior to SBSTTA-21 to discuss the vision, mission and five strategic goals of the current Strategic Plan 2011-2020. The following questions will be addressed: 1. Should the vision, mission, and five strategic goals be maintained, adjusted, or amended? 2. Do we need additional goals until 2030 to better link with the SDGs?","Intermediate results will be presented at the margins of SBSTTA-21, SBSTTA-22 and SBI-2. The discussion paper will be presented at the 14th Conference of the Parties 2018 in Egypt.",,,,Direct contribution
"Twenty-First Meeting of the Subsidiary Body on Scientific, Technical and Technological Advice of the CBD (SBSTTA-21)",11/12/2017,14/12/2017,,"Montreal, Canada",CBD Secretariat,"The agenda included 'scenarios for the 2050 Vision for biodiversity, and links between the Aichi Biodiversity Targets and the Sustainable Development Goals', 'sustainable wildlife management', 'biodiversity and human health', 'mainstreaming of biodiversity into the sectors of energy and mining, infrastructure, manufacturing and processing industry, and health', and the 'fifth edition of the Global Biodiversity Outlook'.",The meeting started to discuss the 2050 vision which will set the context for the revised Strategic Plan for Biodiversity that would be adopted during the 15th Conference of the Parties in Beijing.,https://www.cbd.int/meetings/SBSTTA-21,Intergovernmental processes,,Part of the process
