Title,Start date,End date,Date to be decided,Location,Organisers,Meetings summary,Relevance to the post-2020 process,Link to further information,Groupings,2nd grouping (where appropriate),Relation to the CBD's post-2020 process
Mapping our conservation future: scoping workshop,06/06/2017,06/06/2017,,"Cambridge, UK",UNEP-WCMC,"The Mapping our conservation future: scoping workshop focused on scaling up ambition for area-based conservation. It brought together an international collection of biodiversity-related institutions to discuss three key questions: 1) How can we provide meaningful data on biodiversity at a scale needed for decision making? 2) What is needed for the biodiversity community to speak with one voice on biodiversity prioritisation - i.e. where is important to focus conservation efforts? 3)  How can we assess where important biodiversity is, and is not, being effectively managed?",This workshop explored options to scale-up area based conservation beyond 2020.,A workshop report is available on request: post-2020@unep-wcmc.org,Area-based conservation,,Other relevance
1st meeting of the IUCN WCPA Beyond the Aichi Targets Task Force ,03/07/2017,07/07/2017,,"Vilm, Germany",IUCN,The IUCN's World Commission on Protected Areas (WCPA) meeting focused on developing an engagement and technical strategy to scale up area-based conservation.,The Task Force will assist Convention on Biological Diversity (CBD) Parties to  build momentum for the Promise of Sydney to scale up conservation.,https://www.iucn.org/protected-areas/wcpa/what-we-do/beyond-aichi-targets,Area-based conservation,,Explicitly contributing to the process
IMPAC 4,04/09/2017,08/09/2017,,"La Serena - Coquimbo, Chile","IUCN, Government of Chile",The Fourth International Marine Protected Areas Congress (IMPAC 4) brought together stakeholders to define recommendations on policy processes and to assist in establishing a global network of effectively managed Marine Protected Areas. Particular focus was placed on ocean-human relationships and the impacts of Marine Protected Areas.,The conference was an opportunity to assess progress towards delivering on the Strategic Plan for Biodiversity 2011-2020 and its Aichi Biodiversity Targets on marine conservation.,http://www.impac4.org/en/homepage/ http://enb.iisd.org/download/pdf/sd/enbplus186num9e.pdf,Marine-focus,,Other relevance
Half-Earth Day,23/10/2017,23/10/2017,,"National Geographic HQ, Washington, DC","E. O. Wilson Biodiversity Foundation, National Geographic",The Fourth International Marine Protected Areas Congress (IMPAC 4) brought together stakeholders to define recommendations on policy processes and to assist in establishing a global network of effectively managed Marine Protected Areas. Particular focus was placed on ocean-human relationships and the impacts of Marine Protected Areas.,Half-Earth is one initiative looking at how to manage half of the planet for nature.,http://www.half-earthproject.org/,Area-based conservation,Communications,Other relevance
GEO-XIV Plenary,25/10/2017,26/10/2017,,"Washington, DC",Group on Earth Observations,This meeting explored the use and applications of Earth observations with stakeholders from the global network of the Group on Earth Observations (GEO).,"The GEO Plenary provided an opportunity to exchange knowledge, identify gaps and reduce duplication in the areas of sustainable development and environmental management.",http://www.earthobservations.org/geo14.php,,,Other relevance
1st Bogis-Bossey Dialogue for Transformational Change on Biodiversity,12/11/2017,14/11/2017,,"Bogis-Bossey, Switzerland","CBD Secretariat, Swiss government"," The Secretariat of the Convention on Biological Diversity (CBD) convened the first of a series of dialogues, with the support of the Government of Switzerland. The goal was to identify a transformative agenda for action in sectors and domains that have an impact on or benefit from biodiversity.  ","The meeting provided the opportunity to identify how the CBD and wider biodiversity community can leverage transformational change, both in the lead up to 2020 and through the post-2020 global biodiversity framework. ",https://www.cbd.int/doc/c/9275/a98b/ed07b3d583d07a51860c9111/sbstta-21-inf-19-en.pdf,,,Explicitly contributing to the process
UNEA 3,04/12/2017,06/12/2017,,"Nairobi, Kenya",UN Environment,The meeting of the UN Environment Assembly (UNEA 3) brought together Member States and a variety of stakeholders to address the issue of pollution. ,This meeting provided an opportunity to consult on how linkages between pollution and biodiversity can be more effectively integrated into the future post-2020 biodiversity framework.,http://web.unep.org/environmentassembly/assembly,Intergovernmental processes,,Other relevance
WWF Towards a new CBD Strategy 2021-2030 First International Workshop,10/12/2017,11/12/2017,,"Montreal, Canada",WWF,"This is the first in a series of meetings to discuss the vision, mission and five strategic goals of the current Strategic Plan 2011-2020. The following questions were addressed: 1. Should the vision, mission, and five strategic goals be maintained, adjusted, or amended? 2. Do we need additional goals until 2030 to better link with the Sustainable Development Goals (SDGs)?","Intermediate results were presented at the margins of SBSTTA-21, SBSTTA-22 and SBI-2. The discussion paper will be presented at the 14th Conference of the Parties 2018 in Egypt.",,,,Explicitly contributing to the process
CBD SBSTTA-21,11/12/2017,14/12/2017,,"Montreal, Canada",CBD Secretariat,"The Convention on Biological Diversity's (CBD) twenty-first Meeting of the Subsidiary Body on Scientific, Technical and Technological Advice (SBSTTA-21) focussed on information concerning biodiversity-related scenarios and related scientific and technical information on trends and projections towards 2050 and possible pathways to achieve the 2050 Vision.  ",This meeting presented the opportunity to provide policy relevant syntheses of future pathways for biodiversity and ecosystem services.,https://www.cbd.int/doc/c/4a22/3eba/a499b54091a1c1e22bb7b54e/sbstta-21-02-en.pdf,Intergovernmental processes,,Part of the formal process
International Water Summit 2018,15/01/2018,18/01/2018,,"Abu Dhabi, UAE",Masdar,The Summit brought together stakeholders to develop new strategies on sustainable water use and technologies. ,This Summit provided an opportunity to engage with the water sector on how linkages between water and biodiversity can be more effectively integrated into the future post-2020 biodiversity framework,https://www.internationalwatersummit.com/,,,Other relevance
Technical Expert Workshop on Other Effective Area-Based Conservation Measures for Achieving Aichi Biodiversity Target 11,06/02/2018,09/02/2018,,"Montreal, Canada",CBD Secretariat,"This workshop aimed to provide scientific and technical advice on definition, management approaches, and identification of other effective area-based conservation measures in the terrestrial realm, as well as their role in achieving Aichi Biodiversity Target 11.",Future targets are likely to consider other effective area-based conservation measures in terrestrial and marine realms. ,https://www.cbd.int/meetings/PAEM-2018-01,Area-based conservation,,Other relevance
Expert Workshop on Marine Protected Areas and Other Effective Area-based Conservation Measures for Achieving Aichi Biodiversity Target 11 in Marine and Coastal Areas,06/02/2018,09/02/2018,,"Montreal, Canada",CBD Secretariat,"This workshop aimed to provide scientific and technical advice on definition, management approaches, and identification of other effective area-based conservation measures in the marine realm, as well as their role in achieving Aichi Biodiversity Target 11.",Future targets are likely to consider other effective area-based conservation measures in terrestrial and marine realms. ,https://www.cbd.int/meetings/MCB-EM-2018-01,Area-based conservation,,Other relevance
